Country Name,aream,2020,total area rank
Afghanistan,"2,52,072","6,52,864",41
Albania,"11,082","28,703",143
Algeria,"9,19,595","23,81,741",10
American Samoa,77,199,211
Andorra,181,468,195
Angola,"4,81,354","12,46,700",24
Antigua and Barbuda,171,442,199
Argentina,"10,77,924","27,91,810",8
Armenia,"11,484","29,743",142
Aruba,69,179,212
Australia,"29,68,402","76,88,126",6
Austria,"32,387","83,883",114
Azerbaijan,"33,436","86,600",113
"Bahamas, The","5,382","13,939",160
Bahrain,303,785,302
Bangladesh,"56,977","1,47,570",94
Barbados,166,430,200
Belarus,"80,155","2,07,600",86
Belgium,"11,787","30,528",140
Belize,"8,867","22,965",151
Benin,"44,310","1,14,763",102
Bermuda,21,54,217
Bhutan,"14,824","38,394",136
Bolivia,"4,24,165","10,98,581",27
Bosnia and Herzegovina,"19,772","51,209",128
Botswana,"2,24,607","5,81,730",48
Brazil,"32,82,922","85,02,728",5
Brunei,"2,226","5,765",170
Bulgaria,"42,871","1,11,036",104
Burkina Faso,"1,04,543","2,70,764",74
Burundi,"10,747","27,834",146
Cabo Verde,"1,557","4,033",174
Cambodia,"69,898","1,81,035",90
Cameroon,"1,79,943","4,66,050",54
Canada,"38,55,103","99,84,670",2
Cayman Islands,103,267,209
Central African Republic,"2,40,324","6,22,436",44
Chad,"4,95,755","12,84,000",21
Chile,"2,91,930","7,56,096",38
China,"36,96,118","95,72,900",3
Colombia,"4,40,531","11,40,970",26
Comoros,719,"1,861",179
"Congo, Democratic Republic of the","9,05,568","23,45,410",11
"Congo, Republic of the","1,32,047","3,42,000",66
Costa Rica,"19,760","51,177",129
C�te d�Ivoire,"1,24,503","3,22,462",69
Croatia,"21,851","56,594",127
Cuba,"42,426","1,09,884",105
Cura�ao2,171,444,198
Cyprus3,"3,572","9,251",168
Czech Republic,"30,452","78,870",117
Denmark,"16,582","42,947",133
Djibouti,"8,880","23,000",150
Dominica,290,751,187
Dominican Republic,"18,551","48,046",131
East Timor,"5,760","14,919",159
Ecuador,"99,112","2,56,700",77
Egypt,"3,84,791","9,96,603",30
El Salvador,"8,124","21,041",153
Equatorial Guinea,"10,831","28,051",145
Eritrea,"46,757","1,21,100",100
Estonia,"17,504","45,336",132
Eswatini�(Swaziland),"6,703","17,360",158
Ethiopia,"4,10,678","10,63,652",28
Faroe Islands,539,"1,396",181
Fiji,"7,055","18,272",156
Finland,"1,30,681","3,38,462",61
France,"2,10,017","5,43,941",49
French Guiana,"32,373","83,846",116
French Polynesia,"1,359","3,521",173
Gabon,"1,03,347","2,67,667",76
Gambia, The","4,127","10,689",163
Gaza Strip,141,365,203
Georgia5,"26,911","69,700",122
Germany,"1,38,063","3,57,582",65
Ghana,"92,098","2,38,533",82
Greece,"50,984","1,32,049",97
Greenland,"8,36,331","21,66,086",12
Grenada,133,344,205
Guadeloupe6,629,"1,628",180
Guam,217,561,193
Guatemala,"42,042","1,08,889",106
Guernsey,30,78,215
Guinea,"94,926","2,45,857",79
Guinea-Bissau,"13,948","36,125",138
Guyana,"83,012","2,14,999",85
Haiti,"10,450","27,065",147
Honduras,"43,433","1,12,492",103
Hong Kong,429,"1,110",183
Hungary,"35,916","93,023",110
Iceland,"39,769","1,03,000",107
India,"12,69,299","32,87,469",7
Indonesia,"7,40,122","19,16,907",15
Iran,"6,31,477","16,35,518",18
Iraq,"1,67,974","4,35,052",59
Ireland,"26,435","68,466",121
Isle of Man,221,572,192
Israel7,"8,357","21,643",152
Italy,"1,16,631","3,02,073",72
Jamaica,"4,244","10,991",165
Japan,"1,45,937","3,77,975",64
Jersey,45,116,214
Jordan,"34,486","89,318",112
Kazakhstan,"10,52,090","27,24,900",9
Kenya,"2,35,522","6,10,000",47
Kiribati,313,811,185
"Korea, North","47,399","1,22,762",99
"Korea, South","38,749","1,00,360",108
Kosovo,"4,210","10,905",166
Kuwait,"6,880","17,818",157
Kyrgyzstan,"77,199","1,99,945",87
Laos,"91,429","2,36,800",84
